date,job_title,organization,experience,max_experience,quantity_required,salary,gender,deadline,how_to_apply,tags,category,raw_text
2025-04-08 13:33:51+00:00,Data Controller (Archivist),Ethiopian Engineering Corporation,0,2,3.0,12237.0,both,2025-04-17,In person,"#ethiopian_engineering_corporation, #natural_science, #Addis_Ababa, #0_years, #2_years",,"Data Controller (Archivist)
#ethiopian_engineering_corporation
#natural_science
#Addis_Ababa
Degree or Diploma in Archival Science, Library Science, History, or in a related field of study with relevant work experience
Quanitity Required: 3
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #2_years
Salary: 12237.00
Deadline: April 17, 2025
@hahujobs | @hahujobs_bot"
2025-04-08 13:30:51+00:00,Statistician,Ethiopian Engineering Corporation,0,0,3.0,12237.0,both,2025-04-17,In person,"#ethiopian_engineering_corporation, #natural_science, #Addis_Ababa, #0_years",,"Statistician
#ethiopian_engineering_corporation
#natural_science
#Addis_Ababa
BSc Degree in Statistics, Management, Accounting or in a related field of study
Duties and Responsibilities:
- Design experiments, surveys, and data collection methods to ensure accurate and reliable data.
- Develop survey questionnaires or reporting forms for data collection
- Use statistical software like SPSS, SAS, R, or Python to analyze data.
Quanitity Required: 3
Minimum Years Of Experience: #0_years
Salary: 12237.00
Deadline: April 17, 2025
@hahujobs | @hahujobs_bot"
2025-04-08 13:29:01+00:00,Surveyor,Ethiopian Engineering Corporation,0,2,3.0,12237.0,both,2025-04-17,In person,"#ethiopian_engineering_corporation, #engineering, #Addis_Ababa, #0_years, #2_years",Engineering,"Surveyor 
#ethiopian_engineering_corporation
#engineering
#Addis_Ababa
Degree or Diploma in Surveying, or in a related field of study with relevant work experience
Quanitity Required: 3
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #2_years
Salary: 12237.00
Deadline: April 17, 2025
@hahujobs | @hahujobs_bot"
2025-04-08 13:24:01+00:00,Civil Engineer I,Ethiopian Engineering Corporation,0,0,1.0,,both,2025-04-17,In person,"#ethiopian_engineering_corporation, #engineering, #Addis_Ababa, #0_years",Engineering,"Civil Engineer I
#ethiopian_engineering_corporation
#engineering
#Addis_Ababa
Bachelor's Degree in Civil Engineering, COTM, or in a related field of study
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 17, 2025
@hahujobs | @hahujobs_bot"
2025-04-08 13:14:11+00:00,Cafeteria Dishwasher,Teklehaimanot General Hospital,0,0,1.0,,both,2025-04-18,"Submit your CV and non-returnable application and CVs and Copies of other pertinent documents in person to HR Department located at Somalet Tera, office No 502 5th Floor. For further information contact Tel. +251996979838 / +251111560492 or via email: teklehaimanothr@gmail.com","#teklehaimanot_general_hospital, #low_and_medium_skilled_worker, #Addis_Ababa, #0_years",,"Cafeteria Dishwasher
#teklehaimanot_general_hospital
#low_and_medium_skilled_worker
#Addis_Ababa
Completion of 10th Grade
Duties & Responsibilities:
- Collecting used kitchenware from dining and kitchen areas
- Loading and unloading washing machines
- Washing specific items by hand (e.g. wooden cutting boards, large pots and delicate china)
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 18, 2025
How To Apply: Submit your CV and non-returnable application and CVs and Copies of other pertinent documents in person to HR Department located at Somalet Tera, office No 502 5th Floor. For further information contact Tel. +251996979838 / +251111560492 or via email: teklehaimanothr@gmail.com
@hahujobs | @hahujobs_bot"
2025-04-08 07:27:11+00:00,Junior Accountant,Synertech Technology Plc,0,0,1.0,,both,2025-04-21,Apply using the provided link below or submit your application and CV along with supporting documents Via email: hr@synertechtechnology.com,"#synertech_technology_plc, #finance, #Addis_Ababa, #0_years",Finance,"Junior Accountant
#synertech_technology_plc
#finance
#Addis_Ababa
Bachelor's Degree in Accounting, Finance, or in a related field of study 
Duties & Responsibilities:
- Perform daily data entry tasks to update and maintain accounting records.
- Maintain proper filing of financial documents
- Assist in reconciling bank statements and accounts payable/receivable.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 21, 2025
How To Apply: Apply using the provided link below or submit your application and CV along with supporting documents Via email: hr@synertechtechnology.com
@hahujobs | @hahujobs_bot"
2025-04-08 05:58:51+00:00,Junior Design BIM Modeler,Ethiopian Engineering Corporation,0,3,3.0,,both,2025-04-17,Apply using the provided link below,"#ethiopian_engineering_corporation, #engineering, #Addis_Ababa, #0_years, #3_years",Engineering,"Junior Design BIM Modeler 
#ethiopian_engineering_corporation
#engineering
#Addis_Ababa
Bachelor's Degree in Architecture and Design or in a related field of study with relevant work experience
Duties & Responsibilites:
- Provide CAD drafting/BIM modeling and design support.
- Coordinate and manage Revit models. 
- Create Revit families and CAD blocks. 
- Obtain work assignments of either specific design elements or CAD drafting from project managers. 
- Use checklists set-up for quality control on each project and submit work according to deadlines. 
- Provide an accurate accounting of time spent on projects with descriptions for each time entry on a weekly basis.
Quanitity Required: 3
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #3_years
Deadline: April 17, 2025
How To Apply: Apply using the provided link below
@hahujobs | @hahujobs_bot"
2025-04-08 05:00:11+00:00,Office Assistance,Ef Architects And Engineers Consulting Plc,0,0,1.0,,both,2025-04-16,Apply using the provided link below or Submit your non-returnable application and CV along with supporting documents in-person to the EF Architects and Engineers Consulting Plc located at Lamberet Lame Dairy/ Shola Building 1st Floor Room No-110 /111 Office. For further information contact Tel: +251116677479,"#ef_architects_and_engineers_consulting_plc, #business, #Addis_Ababa, #0_years",,"Office Assistance
#ef_architects_and_engineers_consulting_plc
#business
#Addis_Ababa
TVET Level 10+2 in Secretarial Science, Accounting, Business, or in a related field of study with relevant work experience
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 16, 2025
How To Apply: Apply using the provided link below or Submit your non-returnable application and CV along with supporting documents in-person to the EF Architects and Engineers Consulting Plc located at Lamberet Lame Dairy/ Shola Building 1st Floor Room No-110 /111 Office. For further information contact Tel: +251116677479
@hahujobs | @hahujobs_bot"
2025-04-08 05:00:01+00:00,Junior Professional Nurse,Teklehaimanot General Hospital,0,0,10.0,,both,2025-04-18,"Submit your CV and non-returnable application and CVs and Copies of other pertinent documents in person to HR Department located at Somalet Tera, office No 502 5th Floor. For further information contact Tel. +251996979838 / +251111560492 or via email: teklehaimanothr@gmail.com","#teklehaimanot_general_hospital, #health_care, #Addis_Ababa, #0_years",Healthcare,"Junior Professional Nurse
#teklehaimanot_general_hospital
#health_care
#Addis_Ababa
Bachelor's Degree in Nursing or in a related field of study
Duties & Responsibilities:
- Promote and restore people's health, and diagnose and care within a specific branch of the nursing field
Quanitity Required: 10
Minimum Years Of Experience: #0_years
Deadline: April 18, 2025
How To Apply: Submit your CV and non-returnable application and CVs and Copies of other pertinent documents in person to HR Department located at Somalet Tera, office No 502 5th Floor. For further information contact Tel. +251996979838 / +251111560492 or via email: teklehaimanothr@gmail.com
@hahujobs | @hahujobs_bot"
2025-04-07 14:11:13+00:00,Human Resource Officer,Nehco Trading Plc,0,0,1.0,,both,2025-04-11,"Submit your application and CV with supporting documents in person to the Office located at Gurd Shola, Century Mall, 4th Floor, Office No. 425","#nehco_trading_plc, #business, #Addis_Ababa, #0_years",,"Human Resource Officer
#nehco_trading_plc
#business
#Addis_Ababa
Bachelor's Degree or Diploma in Management, Public Administration, Business Administration or in a related field of study with relevant work experience
Requirements:
- Experience: 2 years for Diploma and 0 years for Bachelor's Degree
- Shortlisted 2023 & 2024 GC Academics year Graduates 
- For Bachelor's Degree with a CGPA of 3.25 for Male and 3.00 for Female
- Exit Exam 65 and above for male and 55 and above for female
Duties & Responsibilites:
- Assist in recruiting, interviewing, and hiring new staff in collaboration with department managers.
- Prepare and update job descriptions and employment records related to hiring, transferring, promoting, and terminating.
- Organize and conduct onboarding for new employees.
- Maintain employee records and HR databases in accordance with legal and organizational requirements.
- Assist with payroll preparation and benefits administration.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 11, 2025
How To Apply: Submit your application and CV with supporting documents in person to the Office located at Gurd Shola, Century Mall, 4th Floor, Office No. 425
@hahujobs | @hahujobs_bot"
